NodeA,NodeB,Type
5393242,17051208,forked_from
4516,1715223,forked_from
4521,36819233,forked_from
4521,23271114,forked_from
4523,31909413,forked_from
4555,4568,forked_from
4037534,8917510,forked_from
21274,29102613,forked_from
19927586,34910092,forked_from
17165,29102636,forked_from
8710305,17306165,forked_from
23597644,31920882,forked_from
11014751,22367985,forked_from
6986543,17306218,forked_from
4718,28428626,forked_from
21715224,22811255,forked_from
6262026,20189816,forked_from
4739,3746639,forked_from
14632666,20452021,forked_from
14632666,22414023,forked_from
14632666,17458397,forked_from
14632666,22183186,forked_from
4826,1692460,forked_from
4828,13627076,forked_from
4872,4870973,forked_from
3412745,37822317,forked_from
3412745,28796807,forked_from
4929,4816991,forked_from
4929,17540444,forked_from
4964,1703859,forked_from
12587928,31480454,forked_from
20714393,20888300,forked_from
37229514,37478078,forked_from
38507,17830861,forked_from
28600243,37753849,forked_from
5209,1423174,forked_from
5209,171675,forked_from
5225,28290,forked_from
5230,30988985,forked_from
5230,11072234,forked_from
19370123,24646767,forked_from
5278,13746905,forked_from
11413607,25957586,forked_from
13636819,25995815,forked_from
13636819,28488717,forked_from
4271803,8918260,forked_from
4271803,5095912,forked_from
8918303,10124363,forked_from
5410,17404142,forked_from
19928375,20098488,forked_from
5434,13038717,forked_from
5446,1697028,forked_from
5461,3825551,forked_from
18879831,19037830,forked_from
5483,1591309,forked_from
5483,20930939,forked_from
5496,1062714,forked_from
5497,21529376,forked_from
6559180,11548804,forked_from
6559180,11705644,forked_from
5626,30731477,forked_from
5629,30015601,forked_from
5693,5637509,forked_from
17045121,30229070,forked_from
17045121,17670885,forked_from
5764,14342,forked_from
5767,29693369,forked_from
12326602,40248154,forked_from
5874,17885199,forked_from
5878,1682351,forked_from
24909609,24910397,forked_from
6297394,21855974,forked_from
11193363,20715325,forked_from
11193363,19435625,forked_from
6035271,30508301,forked_from
5967,1565977,forked_from
2408242,4200297,forked_from
28268285,28317607,forked_from
2405052,30152677,forked_from
6126,6565685,forked_from
411640,24909817,forked_from
411640,8317627,forked_from
6151,5582688,forked_from
6151,30907552,forked_from
6159,4621484,forked_from
25171984,33937939,forked_from
6180,6702646,forked_from
5511215,6822827,forked_from
25156630,33822785,forked_from
17899114,23599187,forked_from
22094982,37492881,forked_from
22094982,30867672,forked_from
22094982,29076864,forked_from
23599297,23687501,forked_from
22057019,23599326,forked_from
22057019,31844825,forked_from
6397,1009774,forked_from
6419,1669636,forked_from
14673264,30415166,forked_from
2252231,2365766,forked_from
10313339,24123745,forked_from
6500,12607795,forked_from
2261584,21502392,forked_from
2261584,33163910,forked_from
14254560,21502397,forked_from
14254560,14936843,forked_from
6595,58441,forked_from
12589539,18975714,forked_from
6641,7563495,forked_from
6719,1582213,forked_from
34342,21502526,forked_from
34342,43499169,forked_from
9706049,17504220,forked_from
55039,2628179,forked_from
55039,1458521,forked_from
20633854,20716129,forked_from
6780,3578360,forked_from
6780,13360331,forked_from
6782,4469894,forked_from
13900414,27627982,forked_from
6798,17262105,forked_from
5249727,17268823,forked_from
11062926,15473355,forked_from
1058739,8919756,forked_from
1058739,20555859,forked_from
6887,209373,forked_from
18040142,37493509,forked_from
6947,39955077,forked_from
6947,19789823,forked_from
9745493,13376322,forked_from
7001,3057371,forked_from
13050597,18094965,forked_from
10629175,30940052,forked_from
7074,1775268,forked_from
7074,1776031,forked_from
7103,3925251,forked_from
22551506,33533763,forked_from
39328794,39357495,forked_from
10493018,34756719,forked_from
7261,4281101,forked_from
19405934,19686848,forked_from
7294,15296400,forked_from
10051503,27794569,forked_from
7317,27653260,forked_from
25005852,29367468,forked_from
7369,1791499,forked_from
6036719,8700758,forked_from
11279601,31502866,forked_from
29105453,31511284,forked_from
29105453,31052039,forked_from
7562,586660,forked_from
20454895,30793676,forked_from
7684,12196551,forked_from
16831631,17571383,forked_from
28769,8920636,forked_from
532073,11404927,forked_from
31337415,32251511,forked_from
7815,21311549,forked_from
13426434,18620042,forked_from
7845,12746126,forked_from
10554188,24125096,forked_from
31465235,32563390,forked_from
8016,11271,forked_from
8016,4734197,forked_from
8016,10256665,forked_from
8016,3711303,forked_from
8016,29695718,forked_from
8016,12929293,forked_from
8016,28451752,forked_from
8016,28488692,forked_from
8016,9619601,forked_from
8016,28290488,forked_from
8016,1817649,forked_from
8016,1817661,forked_from
4792659,29892438,forked_from
15883396,32251745,forked_from
15883396,30518565,forked_from
15883396,30083436,forked_from
4316856,8134503,forked_from
4316856,28727260,forked_from
8073,12565939,forked_from
24911765,24921271,forked_from
24911765,24921351,forked_from
76133,8920987,forked_from
76133,8183036,forked_from
76133,2248031,forked_from
76133,18570780,forked_from
24265135,31203235,forked_from
24265135,27388452,forked_from
8109,8759556,forked_from
5391886,8658878,forked_from
13377523,22507776,forked_from
8218,8698863,forked_from
8321,33905657,forked_from
8329,6429193,forked_from
8329,1778999,forked_from
6462793,32514190,forked_from
6462793,29667692,forked_from
6462793,28747033,forked_from
8343,24929191,forked_from
8352,1751973,forked_from
8352,3081764,forked_from
8376,2861410,forked_from
8390,31749684,forked_from
4727014,9793366,forked_from
835082,25960836,forked_from
6026040,20193733,forked_from
6026040,30761019,forked_from
8657,19846757,forked_from
2251239,32514568,forked_from
30155281,36337138,forked_from
30155281,30396329,forked_from
8751,1723862,forked_from
8751,6243190,forked_from
8765,29962162,forked_from
8765,18027816,forked_from
8542885,32252565,forked_from
318850,20980400,forked_from
203353,10232503,forked_from
8897,16348400,forked_from
8967,1771257,forked_from
13116222,13594148,forked_from
9047,1824515,forked_from
4169072,32252796,forked_from
4169072,21285225,forked_from
4169072,35866149,forked_from
3679107,19047987,forked_from
3679107,19092943,forked_from
2402968,8921992,forked_from
2402968,9604003,forked_from
2402968,10436137,forked_from
9101,8530710,forked_from
12738107,44049367,forked_from
12738107,31471138,forked_from
12738107,41038766,forked_from
12738107,17718430,forked_from
12738107,28482790,forked_from
12738107,37133614,forked_from
12738107,30115021,forked_from
22029287,33321766,forked_from
6397848,7611372,forked_from
13650177,28845036,forked_from
9241,13127000,forked_from
10280345,31466598,forked_from
10280345,29172053,forked_from
10280345,22139794,forked_from
10280345,28451748,forked_from
10280345,17976953,forked_from
9708700,40321541,forked_from
9457,33651,forked_from
9459,36544019,forked_from
9128802,12330284,forked_from
6825273,6965734,forked_from
15213888,18991393,forked_from
10233169,17698458,forked_from
19084272,26223966,forked_from
10477,10495335,forked_from
8953452,11806055,forked_from
2401584,31204723,forked_from
2401584,9729954,forked_from
2401584,16107899,forked_from
2401584,41645860,forked_from
2401584,8880204,forked_from
6563205,22050794,forked_from
28321209,28707386,forked_from
9658,1589268,forked_from
9658,21197819,forked_from
4728286,9496118,forked_from
9708,9918164,forked_from
9753,46612,forked_from
25282303,27272749,forked_from
22049043,25699949,forked_from
28507584,29632113,forked_from
9852,5537213,forked_from
9852,16813512,forked_from
9852,3712299,forked_from
9852,7145585,forked_from
9852,13560326,forked_from
9877,4376706,forked_from
9905,16205687,forked_from
10004,3775083,forked_from
10010,426544,forked_from
20873143,29108005,forked_from
10040,1716314,forked_from
86873,1582903,forked_from
86873,11416063,forked_from
10042,10777706,forked_from
10042,28428635,forked_from
10041,10361371,forked_from
10067,2254460,forked_from
564771,8398699,forked_from
15476608,15947536,forked_from
18098059,18185283,forked_from
15016507,15214522,forked_from
15016507,40196374,forked_from
9343993,11806725,forked_from
2333483,44312585,forked_from
10025127,24127520,forked_from
10025127,30242894,forked_from
10302,13870113,forked_from
15287833,27273291,forked_from
3219067,26486875,forked_from
15246185,24127654,forked_from
1321133,4230805,forked_from
10421,1757254,forked_from
29632699,36633613,forked_from
28846340,31532745,forked_from
31467788,41828233,forked_from
10539,18529245,forked_from
49257,31467826,forked_from
10559,25866253,forked_from
27521478,27535722,forked_from
21768573,33422880,forked_from
9709984,9932067,forked_from
10663,1061291,forked_from
10663,42059662,forked_from
10678,27554702,forked_from
32516535,32820318,forked_from
32516535,33345194,forked_from
32516535,32678523,forked_from
10692,10168973,forked_from
10692,10172529,forked_from
17380601,18360800,forked_from
17380601,42218865,forked_from
17380601,17412039,forked_from
17380601,19253949,forked_from
17380601,17477758,forked_from
17380601,32946185,forked_from
17380601,19123604,forked_from
9597076,28060140,forked_from
10735,126424,forked_from
10735,518560,forked_from
10736,875168,forked_from
10742,1528307,forked_from
3680794,22241404,forked_from
9447989,28969463,forked_from
6190789,6302294,forked_from
6612416,16525929,forked_from
10870,10659124,forked_from
12593847,22213490,forked_from
1343766,3418813,forked_from
1343766,3712613,forked_from
8413288,8923839,forked_from
9344343,11545323,forked_from
3956540,5516039,forked_from
23603984,25872302,forked_from
17888403,23603998,forked_from
11052,207138,forked_from
26399,22031163,forked_from
11087,5388249,forked_from
11125,26038,forked_from
11183,15029048,forked_from
11183,29996142,forked_from
11183,14385979,forked_from
12221068,17837008,forked_from
31579896,38808541,forked_from
11247,26046677,forked_from
11289,6981908,forked_from
11305,3509777,forked_from
11315,12813154,forked_from
20196480,31257333,forked_from
3178603,21245064,forked_from
13118603,28873336,forked_from
11423,37220386,forked_from
30235627,41430351,forked_from
30235627,42259918,forked_from
11601,189567,forked_from
11632,12814859,forked_from
11632,19392797,forked_from
20559331,21507454,forked_from
11648,4274085,forked_from
11021746,17094383,forked_from
