nodeA,nodeB,Type
2621942,iOS,containPlat
2621942,win,containPlat
17302013,mac,containPlat
17302013,win,containPlat
17302013,JVM,containPlat
17302013,debian,containPlat
17302013,CE,containPlat
12059135,Android,containPlat
39322113,Android,containPlat
39322113,CE,containPlat
39322113,win,containPlat
39322113,android,containPlat
519,iOS,containPlat
519,Mac OS X,containPlat
519,ios,containPlat
519,osx,containPlat
519,mac,containPlat
519,win,containPlat
519,OSX,containPlat
519,Mac,containPlat
519,MacOS,containPlat
519,CE,containPlat
519,Mac OS,containPlat
519,OS X,containPlat
8389130,Linux,containPlat
8389130,linux,containPlat
8389130,windows,containPlat
8389130,Win,containPlat
8389130,win,containPlat
8389130,Windows,containPlat
8389130,Window,containPlat
8389130,CE,containPlat
528,Linux,containPlat
528,macOS,containPlat
528,Win,containPlat
528,mac,containPlat
528,Windows,containPlat
528,Window,containPlat
530,ios,containPlat
530,windows,containPlat
530,mac,containPlat
530,win,containPlat
530,Win,containPlat
530,Windows,containPlat
530,Window,containPlat
536,CE,containPlat
536,win,containPlat
540,CE,containPlat
541,Win,containPlat
541,win,containPlat
541,Window,containPlat
2884145,Android,containPlat
2884145,android,containPlat
12321331,MAC,containPlat
12321331,mac,containPlat
12321331,CE,containPlat
569,CE,containPlat
572,GNU,containPlat
7078464,osx,containPlat
7078464,win,containPlat
588,CE,containPlat
3932751,win,containPlat
25166421,Android,containPlat
25166421,android,containPlat
5243478,Android,containPlat
602,Android,containPlat
602,mac,containPlat
602,JVM,containPlat
1573468,Linux,containPlat
606,windows,containPlat
606,mac,containPlat
606,win,containPlat
606,Win,containPlat
606,Windows,containPlat
606,Window,containPlat
606,android,containPlat
606,CE,containPlat
9175646,iOS,containPlat
608,CE,containPlat
608,win,containPlat
6554216,Android,containPlat
6554216,mac,containPlat
6554216,Android 1.6,containPlat
6554216,android,containPlat
27001455,UNIX,containPlat
27001455,Linux,containPlat
27787889,Linux,containPlat
27787889,macOS,containPlat
27787889,mac,containPlat
27787889,Unix,containPlat
27787889,win,containPlat
27787889,Win,containPlat
27787889,Windows,containPlat
27787889,Window,containPlat
4194940,Android,containPlat
4194940,CE,containPlat
4194940,android,containPlat
4194951,Linux,containPlat
4194951,linux,containPlat
4194951,macOS,containPlat
4194951,Debian,containPlat
4194951,windows,containPlat
4194951,mac,containPlat
4194951,win,containPlat
4194951,Win,containPlat
4194951,OSX,containPlat
4194951,Ubuntu,containPlat
4194951,Windows,containPlat
4194951,Window,containPlat
4194951,OS X,containPlat
9699978,CE,containPlat
17564301,Android,containPlat
17564301,CE,containPlat
17564301,Mac,containPlat
17564301,android,containPlat
13107859,Android,containPlat
13107859,android,containPlat
661,CE,containPlat
661,win,containPlat
661,ios,containPlat
26477209,iOS,containPlat
26477209,CE,containPlat
26477209,ios,containPlat
3408538,win,containPlat
3408538,Linux,containPlat
3408538,mac,containPlat
9962150,Android,containPlat
679,GNU,containPlat
683,Linux,containPlat
683,win,containPlat
683,debian,containPlat
683,CE,containPlat
683,OS X,containPlat
42468017,CE,containPlat
42468017,Mac,containPlat
42468017,win,containPlat
24117939,iOS,containPlat
24117939,CE,containPlat
24117939,win,containPlat
707,iOS,containPlat
707,win,containPlat
25166531,CE,containPlat
25166531,win,containPlat
710,Linux,containPlat
710,osx,containPlat
710,mac,containPlat
710,linux,containPlat
7340751,Linux,containPlat
7340751,Mac OS X,containPlat
7340751,Win,containPlat
7340751,Windows 8,containPlat
7340751,Mac,containPlat
7340751,Ubuntu,containPlat
7340751,Windows,containPlat
7340751,Window,containPlat
7340751,OS X,containPlat
7340751,Mac OS,containPlat
7865040,iOS,containPlat
7865040,Win,containPlat
7865040,win,containPlat
7865040,OSX,containPlat
7865040,Windows,containPlat
7865040,Window,containPlat
7865040,OS X,containPlat
7865040,CE,containPlat
725,UNIX,containPlat
725,mac,containPlat
725,win,containPlat
729,iOS,containPlat
729,OS X,containPlat
525019,Win,containPlat
525019,mac,containPlat
525019,UNIX,containPlat
525019,Windows,containPlat
525019,Window,containPlat
525019,CE,containPlat
22545116,Android,containPlat
22545116,android,containPlat
735,Linux,containPlat
735,mac,containPlat
735,Unix,containPlat
735,win,containPlat
735,Win,containPlat
735,Windows,containPlat
735,Window,containPlat
735,OS X,containPlat
22282976,Android,containPlat
22282976,CE,containPlat
22282976,android,containPlat
14418659,Android,containPlat
14418659,android,containPlat
10748645,iOS,containPlat
10748645,Android,containPlat
10748645,win,containPlat
10748645,Mac,containPlat
10748645,android,containPlat
787187,windows,containPlat
787187,Win,containPlat
787187,win,containPlat
787187,Windows 7,containPlat
787187,Ubuntu,containPlat
787187,unix,containPlat
787187,Windows,containPlat
787187,Window,containPlat
760,CE,containPlat
42730233,win,containPlat
42730233,mac,containPlat
42730233,CE,containPlat
27525883,win,containPlat
3670781,iOS,containPlat
3670781,ios,containPlat
767,Window,containPlat
767,Win,containPlat
767,win,containPlat
767,Windows,containPlat
782,CE,containPlat
782,win,containPlat
788,CE,containPlat
10224409,Linux,containPlat
10224409,linux,containPlat
10224409,Debian,containPlat
10224409,mac,containPlat
10224409,Win,containPlat
10224409,Mac,containPlat
10224409,Ubuntu,containPlat
10224409,Windows,containPlat
10224409,Window,containPlat
10224409,OS X,containPlat
5767962,mac,containPlat
5767962,win,containPlat
800,mac,containPlat
16778019,iOS,containPlat
22545206,CE,containPlat
14156611,win,containPlat
9700164,AppEngine,containPlat
9700164,Android,containPlat
9700164,mac,containPlat
9700164,win,containPlat
9700164,android,containPlat
9700164,CE,containPlat
35914565,CE,containPlat
787271,JVM,containPlat
787271,CE,containPlat
5768012,mac,containPlat
5768012,win,containPlat
844,iOS,containPlat
844,Android,containPlat
844,Win,containPlat
844,Windows,containPlat
844,Window,containPlat
844,OS X,containPlat
845,CE,containPlat
24118095,Linux,containPlat
24118095,linux,containPlat
24118095,windows,containPlat
24118095,Win,containPlat
24118095,win,containPlat
24118095,Mac,containPlat
24118095,Ubuntu,containPlat
24118095,Windows,containPlat
24118095,Window,containPlat
24118095,CE,containPlat
19137363,macOS,containPlat
19137363,Linux,containPlat
19137363,mac,containPlat
19137363,CE,containPlat
860,CE,containPlat
8389469,win,containPlat
864,Linux,containPlat
864,macOS,containPlat
864,Win,containPlat
864,mac,containPlat
864,Windows,containPlat
864,Window,containPlat
20972385,android,containPlat
866,GNU,containPlat
866,ubuntu,containPlat
866,win,containPlat
866,Ubuntu,containPlat
867,Linux,containPlat
867,win32,containPlat
867,linux,containPlat
867,mac,containPlat
867,Win,containPlat
